id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1577377499817787392,1576573856533184512,2022-10-04 15:17:56 Eastern Daylight Time,2022-10-04,15:17:56,-0400,21357983,miakarina1,Karina Pro-Democracy AntiFascist,,"@TheFungi669 Yea, no when went out during the COVID19 pandemic, Einstein. No school shootings either, because there were no kids in school. Try again. Try harder.",en,[],[],[],0,0,0,[],[],https://twitter.com/Miakarina1/status/1577377499817787392,False,,0,,,,,,,,"[{'screen_name': 'TheFungi669', 'name': 'Captain Obvious', 'id': '1470492384274309137'}]",,,,
1575667071744106497,1575667071744106497,2022-09-29 22:01:19 Eastern Daylight Time,2022-09-29,22:01:19,-0400,908781126495305728,covid_scale,COVID Scale,,"Since the start of the pandemic, 1,084,282 Americans have died from #COVID19 (16.6% of all deaths worldwide). That is about the same as 38,724 Sandy Hook Elementary School shootings which killed 28 people in 2012:  https://t.co/fV9xAl2Y1S",en,[],['https://en.wikipedia.org/wiki/Sandy_Hook_Elementary_School_shooting'],[],0,0,0,['covid19'],[],https://twitter.com/COVID_Scale/status/1575667071744106497,False,,0,,,,,,,,[],,,,
1575100787763576832,1575100787763576832,2022-09-28 08:31:06 Eastern Daylight Time,2022-09-28,08:31:06,-0400,908781126495305728,covid_scale,COVID Scale,,"Since the start of the pandemic, 1,082,286 Americans have died from #COVID19 (16.5% of all deaths worldwide). That is about the same as 38,653 Sandy Hook Elementary School shootings which killed 28 people in 2012:  https://t.co/fV9xAl2Y1S",en,[],['https://en.wikipedia.org/wiki/Sandy_Hook_Elementary_School_shooting'],[],0,0,0,['covid19'],[],https://twitter.com/COVID_Scale/status/1575100787763576832,False,,0,,,,,,,,[],,,,
1574375938007113729,1574375938007113729,2022-09-26 08:30:48 Eastern Daylight Time,2022-09-26,08:30:48,-0400,908781126495305728,covid_scale,COVID Scale,,"Since the start of the pandemic, 1,081,715 Americans have died from #COVID19 (16.5% of all deaths worldwide). That is about the same as 63,630 Stoneman Douglas High School shootings which killed 17 people in 2018:  https://t.co/3d495sSHbG",en,[],['https://en.wikipedia.org/wiki/Stoneman_Douglas_High_School_shooting'],[],0,0,0,['covid19'],[],https://twitter.com/COVID_Scale/status/1574375938007113729,False,,0,,,,,,,,[],,,,
1573907950133018626,1573907950133018626,2022-09-25 01:31:11 Eastern Daylight Time,2022-09-25,01:31:11,-0400,908781126495305728,covid_scale,COVID Scale,,"Since the start of the pandemic, 1,081,708 Americans have died from #COVID19 (16.5% of all deaths worldwide). That is about the same as 38,632 Sandy Hook Elementary School shootings which killed 28 people in 2012:  https://t.co/fV9xAl2Y1S",en,[],['https://en.wikipedia.org/wiki/Sandy_Hook_Elementary_School_shooting'],[],0,0,0,['covid19'],[],https://twitter.com/COVID_Scale/status/1573907950133018626,False,,0,,,,,,,,[],,,,
1573107586525700101,1573107586525700101,2022-09-22 20:30:50 Eastern Daylight Time,2022-09-22,20:30:50,-0400,908781126495305728,covid_scale,COVID Scale,,"Since the start of the pandemic, 1,080,824 Americans have died from #COVID19 (16.5% of all deaths worldwide). That is about the same as 63,577 Stoneman Douglas High School shootings which killed 17 people in 2018:  https://t.co/3d495sSHbG",en,[],['https://en.wikipedia.org/wiki/Stoneman_Douglas_High_School_shooting'],[],0,1,0,['covid19'],[],https://twitter.com/COVID_Scale/status/1573107586525700101,False,,0,,,,,,,,[],,,,
1571929885274243072,1571929885274243072,2022-09-19 14:31:04 Eastern Daylight Time,2022-09-19,14:31:04,-0400,908781126495305728,covid_scale,COVID Scale,,"Since the start of the pandemic, 1,078,663 Americans have died from #COVID19 (16.5% of all deaths worldwide). That is about the same as 63,450 Stoneman Douglas High School shootings which killed 17 people in 2018:  https://t.co/3d495sSHbG",en,[],['https://en.wikipedia.org/wiki/Stoneman_Douglas_High_School_shooting'],[],0,0,0,['covid19'],[],https://twitter.com/COVID_Scale/status/1571929885274243072,False,,0,,,,,,,,[],,,,
1561201786312081411,1561201786312081411,2022-08-21 00:01:26 Eastern Daylight Time,2022-08-21,00:01:26,-0400,908781126495305728,covid_scale,COVID Scale,,"Since the start of the pandemic, 1,065,555 Americans have died from #COVID19 (16.5% of all deaths worldwide). That is about the same as 62,679 Stoneman Douglas High School shootings which killed 17 people in 2018:  https://t.co/3d495sSHbG",en,[],['https://en.wikipedia.org/wiki/Stoneman_Douglas_High_School_shooting'],[],0,0,0,['covid19'],[],https://twitter.com/COVID_Scale/status/1561201786312081411,False,,0,,,,,,,,[],,,,
1560907220698677250,1560907220698677250,2022-08-20 04:30:56 Eastern Daylight Time,2022-08-20,04:30:56,-0400,908781126495305728,covid_scale,COVID Scale,,"Since the start of the pandemic, 1,065,515 Americans have died from #COVID19 (16.5% of all deaths worldwide). That is about the same as 62,677 Stoneman Douglas High School shootings which killed 17 people in 2018:  https://t.co/3d495sSHbG",en,[],['https://en.wikipedia.org/wiki/Stoneman_Douglas_High_School_shooting'],[],0,0,0,['covid19'],[],https://twitter.com/COVID_Scale/status/1560907220698677250,False,,0,,,,,,,,[],,,,
1560393854217584640,1560393854217584640,2022-08-18 18:31:00 Eastern Daylight Time,2022-08-18,18:31:00,-0400,908781126495305728,covid_scale,COVID Scale,,"Since the start of the pandemic, 1,064,335 Americans have died from #COVID19 (16.5% of all deaths worldwide). That is about the same as 38,011 Sandy Hook Elementary School shootings which killed 28 people in 2012:  https://t.co/fV9xAl2Y1S",en,[],['https://en.wikipedia.org/wiki/Sandy_Hook_Elementary_School_shooting'],[],0,0,0,['covid19'],[],https://twitter.com/COVID_Scale/status/1560393854217584640,False,,0,,,,,,,,[],,,,
